flightNumber,departingFrom,arrivingAt,departure,arrival,aircraftID,soldTickets,captain,copilot,fsm,fa1,fa2
NA010,KEF,KUS,2019-12-20T06:27:00,2019-12-20T08:27:00,,25,Sara,Valdís,Pálína,Hildur,
NA011,KUS,KEF,2019-12-20T09:27:00,2019-12-20T11:27:00,,18,,,,,
NA010,KEF,KUS,2019-12-24T06:15:00,2019-12-24T08:15:00,TF-EPG,,3009907461,2410876598,0303758167,1107951952,2602806942
NA011,KUS,KEF,2019-12-24T09:15:00,2019-12-24T11:15:00,TF-EPG,,3009907461,2410876598,0303758167,1107951952,2602806942
NA020,KEF,LYR,2019-12-20T06:45:00,2019-12-20T10:45:00,,,,,,,
NA021,LYR,KEF,2019-12-20T11:45:00,2019-12-20T15:45:00,,,,,,,
NA020,KEF,LYR,2019-12-22T06:16:00,2019-12-22T10:16:00,,,3009907461,2410876598,0303758167,1107951952,2602806942
NA021,LYR,KEF,2019-12-22T11:16:00,2019-12-22T15:16:00,,,3009907461,2410876598,0303758167,1107951952,2602806942
NA030,KEF,GOH,2019-12-21T06:21:00,2019-12-21T09:21:00,,,,,,,
NA031,GOH,KEF,2019-12-21T10:21:00,2019-12-21T13:21:00,,,,,,,
NA030,KEF,GOH,2019-12-24T05:24:00,2019-12-24T08:24:00,TF-IZE,,,,,,
NA031,GOH,KEF,2019-12-24T09:24:00,2019-12-24T12:24:00,,,,,,,
NA040,KEF,FAE,2019-12-24T09:18:00,2019-12-24T10:18:00,TF-LNQ,,,,,,
NA041,FAE,KEF,2019-12-24T11:18:00,2019-12-24T12:18:00,TF-LNQ,,,,,,
NA040,KEF,FAE,2019-12-26T09:27:00,2019-12-26T10:27:00,,,,,,,
NA041,FAE,KEF,2019-12-26T11:27:00,2019-12-26T12:27:00,,,,,,,
NA050,KEF,LWK,2019-12-21T10:23:00,2019-12-21T12:23:00,,,,,,,
NA051,LWK,KEF,2019-12-21T13:23:00,2019-12-21T15:23:00,,,,,,,
NA050,KEF,LWK,2019-12-24T09:39:00,2019-12-24T11:39:00,,,1234767890,2500812671,1308941169,3920193757,1710962789
NA051,LWK,KEF,2019-12-24T12:39:00,2019-12-24T14:39:00,,,1234767890,2500812671,1308941169,3920193757,1710962789
NA052,KEF,LWK,2019-12-24T10:00:00,2019-12-24T12:00:00,,,,,,,
NA053,LWK,KEF,2019-12-24T13:00:00,2019-12-24T15:00:00,,,,,,,
NA050,KEF,LWK,2019-12-25T10:00:00,2019-12-25T12:00:00,,,,,,,
NA051,LWK,KEF,2019-12-25T13:00:00,2019-12-25T15:00:00,,,,,,,
NA050,KEF,LWK,2019-12-26T10:00:00,2019-12-26T12:00:00,,,,,,,
NA051,LWK,KEF,2019-12-26T13:00:00,2019-12-26T15:00:00,,,,,,,
NA050,KEF,LWK,2019-12-27T09:40:00,2019-12-27T11:40:00,,,1234767890,2500812671,1308941169,1107951952,2602806942
NA051,LWK,KEF,2019-12-27T12:40:00,2019-12-27T14:40:00,,,1234767890,2500812671,1308941169,1107951952,2602806942
NA052,KEF,LWK,2019-12-27T10:00:00,2019-12-27T12:00:00,,,,,,,
NA053,LWK,KEF,2019-12-27T13:00:00,2019-12-27T15:00:00,,,,,,,
NA050,KEF,LWK,2019-12-28T10:00:00,2019-12-28T12:00:00,,,,,,,
NA051,LWK,KEF,2019-12-28T13:00:00,2019-12-28T15:00:00,,,,,,,
NA050,KEF,LWK,2019-12-29T10:00:00,2019-12-29T12:00:00,,,,,,,
NA051,LWK,KEF,2019-12-29T13:00:00,2019-12-29T15:00:00,,,,,,,
